,event_id,subject_id,timestamp,session_index,plane,setup,task,block,trial_index,stim_number,stim_type,stim_country_ids,stim_sexes,stim_talker_ids,speaker_ids,stim_level,resp_number,is_correct,speaker_distance_mean,speaker_distance_st_dev,reaction_time,spectral_coverage
0,,101,2024-06-21 12:29:29,3,distance,cathedral,numerosity_judgement,99,0,4,countries_forward,"['_Oman_', '_Belgium_', '_Yemen_', '_Peru_']","['f', 'm', 'm', 'f']","['p248', 'p229', 'p256', 'p268']","[1, 2, 10, 3]","[86.2038576498559, 87.57049330475357, 93.00003341222717, 89.14911522239515]",3,False,6.0,4.08248290463863,16.030155658721924,0.769424582907729
0,,101,2024-06-21 12:29:35,3,distance,cathedral,numerosity_judgement,99,1,6,countries_forward,"['_Syria_', '_Peru_', '_Yemen_', '_Sudan_', '_Togo_', '_Congo_']","['f', 'm', 'f', 'f', 'm', 'm']","['p248', 'p229', 'p284', 'p268', 'p307', 'p318']","[6, 5, 7, 2, 4, 1]","[91.58892582949886, 90.34149293193902, 91.73820004985969, 87.57049330475357, 89.31368318402099, 86.2038576498559]",6,True,6.166666666666667,2.316606713852541,3.4216415882110596,0.8665758710702531
0,,101,2024-06-21 12:29:39,3,distance,cathedral,numerosity_judgement,99,2,3,countries_forward,"['_Britain_', '_Syria_', '_Congo_']","['m', 'f', 'm']","['p307', 'p245', 'p229']","[2, 8, 0]","[87.57049330475357, 92.0152836843556, 84.40078082039426]",3,True,5.333333333333333,4.163331998932266,2.546701669692993,0.9132221087277268
0,,101,2024-06-21 12:29:44,3,distance,cathedral,numerosity_judgement,99,3,5,countries_forward,"['_Oman_', '_Togo_', '_Congo_', '_Tonga_', '_Yemen_']","['m', 'm', 'm', 'f', 'm']","['p229', 'p256', 'p307', 'p268', 'p318']","[3, 0, 5, 2, 7]","[89.14911522239515, 84.40078082039426, 90.34149293193902, 87.57049330475357, 91.73820004985969]",5,True,5.4,2.701851217221259,2.1717262268066406,0.7775961865849507
0,,101,2024-06-21 12:29:48,3,distance,cathedral,numerosity_judgement,99,4,2,countries_forward,"['_Britain_', '_Yemen_']","['f', 'm']","['p245', 'p307']","[3, 8]","[89.14911522239515, 92.0152836843556]",2,True,7.5,3.5355339059327378,2.202974319458008,0.5798206786970832
0,,101,2024-06-21 12:29:52,3,distance,cathedral,numerosity_judgement,99,5,5,countries_forward,"['_Syria_', '_Togo_', '_Peru_', '_Mali_', '_Belgium_']","['m', 'f', 'f', 'm', 'f']","['p229', 'p268', 'p245', 'p307', 'p284']","[9, 1, 0, 2, 7]","[92.00610777531934, 86.2038576498559, 84.40078082039426, 87.57049330475357, 91.73820004985969]",5,True,5.8,3.96232255123179,2.3435897827148438,0.938883214164113
0,,101,2024-06-21 12:29:57,3,distance,cathedral,numerosity_judgement,99,6,2,countries_forward,"['_Cuba_', '_Togo_']","['m', 'f']","['p229', 'p245']","[0, 1]","[84.40078082039426, 86.2038576498559]",2,True,2.5,0.7071067811865476,2.296719789505005,0.9433662467370332
0,,101,2024-06-21 12:30:01,3,distance,cathedral,numerosity_judgement,99,7,3,countries_forward,"['_Sudan_', '_Yemen_', '_Britain_']","['f', 'm', 'm']","['p248', 'p307', 'p256']","[2, 8, 5]","[87.57049330475357, 92.0152836843556, 90.34149293193902]",5,False,7.0,3.0,2.3904619216918945,0.6826807399841107
0,,101,2024-06-21 12:30:06,3,distance,cathedral,numerosity_judgement,99,8,6,countries_forward,"['_Oman_', '_Belgium_', '_Japan_', '_Tonga_', '_Congo_', '_Togo_']","['m', 'f', 'f', 'f', 'm', 'm']","['p307', 'p248', 'p284', 'p245', 'p256', 'p229']","[0, 9, 8, 1, 4, 7]","[84.40078082039426, 92.00610777531934, 92.0152836843556, 86.2038576498559, 89.31368318402099, 91.73820004985969]",2,False,6.833333333333333,3.763863263545405,2.906052350997925,0.9315741686528204
0,,101,2024-06-21 12:30:14,3,distance,cathedral,numerosity_judgement,99,9,4,countries_forward,"['_Cuba_', '_Belgium_', '_Yemen_', '_Oman_']","['f', 'm', 'f', 'm']","['p245', 'p229', 'p248', 'p318']","[1, 9, 10, 7]","[86.2038576498559, 92.00610777531934, 93.00003341222717, 91.73820004985969]",2,False,8.75,4.031128874149275,5.1246514320373535,0.8298490523209624
0,,101,2024-06-21 12:31:29,3,distance,cathedral,numerosity_judgement,99,0,4,countries_forward,"['_Britain_', '_Cuba_', '_Peru_', '_Japan_']","['m', 'm', 'f', 'f']","['p229', 'p307', 'p284', 'p245']","[5, 1, 7, 4]","[90.34149293193902, 86.2038576498559, 91.73820004985969, 89.31368318402099]",3.0,False,6.25,2.5,14.561505794525146,0.8685052774940415
0,,101,2024-06-21 12:31:32,3,distance,cathedral,numerosity_judgement,99,1,6,countries_forward,"['_Congo_', '_Peru_', '_Syria_', '_Sudan_', '_Belgium_', '_Oman_']","['f', 'm', 'f', 'm', 'm', 'f']","['p268', 'p256', 'p248', 'p229', 'p318', 'p245']","[5, 4, 2, 7, 3, 1]","[90.34149293193902, 89.31368318402099, 87.57049330475357, 91.73820004985969, 89.14911522239515, 86.2038576498559]",4.0,False,5.666666666666667,2.160246899469287,0.07811999320983887,0.8933946203609126
0,,101,2024-06-21 12:31:49,3,distance,cathedral,numerosity_judgement,99,2,3,countries_forward,"['_Oman_', '_Cuba_', '_Yemen_']","['m', 'm', 'm']","['p307', 'p318', 'p256']","[5, 2, 9]","[90.34149293193902, 87.57049330475357, 92.00610777531934]",2.0,False,7.333333333333333,3.5118845842842465,15.530188798904419,0.641913517194416
0,,101,2024-06-21 12:31:52,3,distance,cathedral,numerosity_judgement,99,3,5,countries_forward,"['_Peru_', '_Togo_', '_Japan_', '_Oman_', '_Cuba_']","['m', 'm', 'f', 'm', 'f']","['p307', 'p229', 'p248', 'p256', 'p245']","[6, 7, 0, 8, 5]","[91.58892582949886, 91.73820004985969, 84.40078082039426, 92.0152836843556, 90.34149293193902]",4.0,False,7.2,3.1144823004794877,0.2656090259552002,0.6893428668709568
0,,101,2024-06-21 12:32:47,3,distance,cathedral,numerosity_judgement,99,0,4,countries_forward,"['_Mali_', '_Yemen_', '_Syria_', '_Tonga_']","['m', 'm', 'f', 'f']","['p229', 'p318', 'p248', 'p245']","[8, 0, 10, 1]","[92.0152836843556, 84.40078082039426, 93.00003341222717, 86.2038576498559]",5.0,False,6.75,4.9916597106239795,1.999861717224121,0.936749517648394
0,,101,2024-06-21 12:32:50,3,distance,cathedral,numerosity_judgement,99,1,5,countries_forward,"['_Japan_', '_Britain_', '_Tonga_', '_Mali_', '_Peru_']","['f', 'f', 'm', 'f', 'm']","['p268', 'p245', 'p307', 'p248', 'p229']","[3, 5, 2, 8, 4]","[89.14911522239515, 90.34149293193902, 87.57049330475357, 92.0152836843556, 89.31368318402099]",3.0,False,6.4,2.3021728866442674,1.2655389308929443,0.7871410736579276
0,,101,2024-06-21 12:32:54,3,distance,cathedral,numerosity_judgement,99,2,2,countries_forward,"['_Mali_', '_Belgium_']","['m', 'm']","['p256', 'p318']","[8, 9]","[92.0152836843556, 92.00610777531934]",5.0,False,10.5,0.7071067811865476,1.9373664855957031,0.8195664510271252
0,,101,2024-06-21 12:32:58,3,distance,cathedral,numerosity_judgement,99,3,3,countries_forward,"['_Congo_', '_Sudan_', '_Yemen_']","['m', 'm', 'm']","['p307', 'p229', 'p318']","[9, 7, 6]","[92.00610777531934, 91.73820004985969, 91.58892582949886]",2.0,False,9.333333333333334,1.5275252316519468,1.8279995918273926,0.8988310066961752
0,,101,2024-06-21 12:33:03,3,distance,cathedral,numerosity_judgement,99,4,6,countries_forward,"['_Syria_', '_Tonga_', '_Yemen_', '_Oman_', '_Sudan_', '_Mali_']","['m', 'm', 'f', 'm', 'f', 'm']","['p256', 'p229', 'p284', 'p307', 'p268', 'p318']","[1, 0, 4, 7, 3, 6]","[86.2038576498559, 84.40078082039426, 89.31368318402099, 91.73820004985969, 89.14911522239515, 91.58892582949886]",3.0,False,5.5,2.7386127875258306,1.9217417240142822,0.8914992622857791
0,,101,2024-06-21 12:33:06,3,distance,cathedral,numerosity_judgement,99,5,4,countries_forward,"['_Peru_', '_Togo_', '_Britain_', '_Yemen_']","['f', 'm', 'm', 'f']","['p245', 'p307', 'p229', 'p268']","[9, 7, 4, 10]","[92.00610777531934, 91.73820004985969, 89.31368318402099, 93.00003341222717]",2.0,False,9.5,2.6457513110645907,1.7655045986175537,0.7637498581318806
